Season,Date,PSCH,PSCD,PSCA
2013/14,22/03/2014,2.1,3.4,3.92
2013/14,22/03/2014,1.68,3.82,5.88
2013/14,23/03/2014,2.64,3.17,3.02
2013/14,23/03/2014,2.06,3.21,4.39
2013/14,23/03/2014,2.05,3.49,4.02
2013/14,24/03/2014,4.6,3.55,1.9
2013/14,28/03/2014,1.99,3.32,4.54
2013/14,28/03/2014,2.49,3.22,3.19
2013/14,29/03/2014,2.04,3.45,4.08
2013/14,29/03/2014,1.67,3.92,5.81
2013/14,29/03/2014,1.98,3.44,4.36
2013/14,30/03/2014,2.19,3.45,3.64
2013/14,30/03/2014,2.09,3.44,3.9
2013/14,31/03/2014,2.37,3.23,3.41
2013/14,04/04/2014,4.02,3.12,2.19
2013/14,04/04/2014,2.62,3.25,2.97
2013/14,05/04/2014,2.01,3.34,4.38
2013/14,05/04/2014,4.32,3.38,2.01
2013/14,05/04/2014,1.49,4.32,8.13
2013/14,06/04/2014,2.78,3.12,2.9
2013/14,06/04/2014,1.6,4.06,6.49
2013/14,07/04/2014,2.29,3.21,3.61
2013/14,12/04/2014,3.77,3.45,2.13
2013/14,12/04/2014,1.98,3.63,4.09
2013/14,12/04/2014,2.83,3.34,2.68
2013/14,12/04/2014,1.54,4.06,7.81
2013/14,12/04/2014,2.54,3.49,2.9
2013/14,12/04/2014,1.88,3.49,4.87
2013/14,12/04/2014,3.88,3.3,2.15
2013/14,12/04/2014,2.31,3.23,3.55
2013/14,25/04/2014,2.01,3.43,4.24
2013/14,25/04/2014,1.41,4.65,10.05
2013/14,26/04/2014,2.16,3.35,3.76
2013/14,26/04/2014,2.25,3.36,3.46
2013/14,26/04/2014,1.44,4.57,9.04
2013/14,27/04/2014,1.81,3.52,5.35
2013/14,27/04/2014,2.39,3.3,3.29
2013/14,28/04/2014,2.21,3.31,3.7
2013/14,01/05/2014,2.55,3.25,3.08
2013/14,03/05/2014,2.95,3.13,2.7
2013/14,03/05/2014,4.82,3.58,1.85
2013/14,03/05/2014,2.45,3.27,3.21
2013/14,04/05/2014,2.88,3.19,2.76
2013/14,04/05/2014,2.22,3.21,3.8
2013/14,05/05/2014,4.87,3.69,1.82
2013/14,05/05/2014,1.89,3.58,4.58
2013/14,09/05/2014,2.62,3.22,3.0
2013/14,09/05/2014,1.45,4.72,8.19
2013/14,10/05/2014,2.13,3.39,3.83
2013/14,10/05/2014,2.21,3.41,3.58
2013/14,10/05/2014,1.57,4.32,6.34
2013/14,11/05/2014,2.29,3.17,3.66
2013/14,11/05/2014,2.09,3.32,4.1
2013/14,12/05/2014,1.59,3.99,6.84
2013/14,16/05/2014,2.46,3.31,3.15
2013/14,16/05/2014,3.95,3.42,2.08
2013/14,17/05/2014,1.88,3.55,4.73
2013/14,17/05/2014,2.35,3.12,3.58
2013/14,17/05/2014,1.91,3.44,4.75
2013/14,18/05/2014,1.89,3.49,4.75
2013/14,18/05/2014,5.14,3.71,1.78
2013/14,19/05/2014,2.22,3.25,3.73
2013/14,22/05/2014,2.42,3.46,3.1
2013/14,22/05/2014,1.97,3.52,4.28
2013/14,23/05/2014,2.33,3.32,3.39
2013/14,23/05/2014,2.61,3.31,2.96
2013/14,24/05/2014,2.1,3.53,3.75
2013/14,24/05/2014,1.39,5.17,8.95
2013/14,25/05/2014,1.4,5.04,8.86
2013/14,25/05/2014,3.07,3.33,2.51
2013/14,27/05/2014,2.73,3.25,2.81
2013/14,27/05/2014,2.04,3.47,4.0
2013/14,27/05/2014,1.73,3.95,5.15
2013/14,28/05/2014,1.64,4.01,5.99
2013/14,28/05/2014,1.75,3.82,5.25
2013/14,28/05/2014,3.1,3.79,2.28
2013/14,28/05/2014,3.16,3.36,2.43
2013/14,28/05/2014,2.12,3.41,3.86
2013/14,31/05/2014,2.03,3.42,4.18
2013/14,31/05/2014,2.78,3.42,2.69
2013/14,31/05/2014,2.36,3.61,3.08
2013/14,31/05/2014,2.35,3.34,3.31
2013/14,01/06/2014,2.73,3.44,2.72
2013/14,01/06/2014,2.23,3.56,3.39
2013/14,01/06/2014,2.0,3.64,4.01
2013/14,01/06/2014,2.42,3.44,3.13
2014/15,18/07/2014,2.4,3.08,3.55
2014/15,18/07/2014,2.97,3.14,2.71
2014/15,19/07/2014,3.35,3.33,2.35
2014/15,19/07/2014,1.78,3.8,4.97
2014/15,20/07/2014,1.6,4.23,6.04
2014/15,20/07/2014,2.27,3.3,3.57
2014/15,20/07/2014,2.01,3.46,4.19
2014/15,21/07/2014,2.37,3.42,3.2
2014/15,25/07/2014,1.99,3.39,4.4
2014/15,25/07/2014,1.64,3.98,6.09
2014/15,26/07/2014,2.84,3.07,2.88
2014/15,26/07/2014,4.38,3.35,2.0
2014/15,27/07/2014,2.15,3.34,3.84
2014/15,27/07/2014,2.05,3.48,4.01
2014/15,27/07/2014,4.21,3.18,2.11
2014/15,28/07/2014,1.96,3.6,4.14
2014/15,01/08/2014,2.08,3.55,3.82
