Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,WHH,WHD,WHA,Season,HomeValue,AwayValue,VCH,VCD,VCA
B1,01/10/2005,Standard,Lokeren,2.0,1.0,H,1.0,0.0,1.4,4.0,6.5,1.4,4.0,6.75,1.4,3.9,6.0,1.4,3.75,7.0,1.4,4.0,6.2,2005/6,€52.10m,€23.40m,1.4,4.0,6.5
B1,01/10/2005,Waregem,Roeselare,2.0,1.0,H,0.0,0.0,1.66,3.4,4.5,1.8,3.2,4.05,1.75,3.2,4.0,1.72,3.4,4.0,1.6,3.5,4.6,2005/6,€10.88m,€9.28m,1.7,3.6,4.0
B1,01/10/2005,Westerlo,Beveren,4.0,1.0,H,0.0,0.0,1.72,3.4,4.2,1.85,3.2,3.85,1.8,3.1,3.8,1.72,3.4,4.0,1.75,3.35,3.9,2005/6,€17.55m,€16.75m,1.8,3.25,4.0
B1,02/10/2005,Cercle Brugge,Mouscron,1.0,0.0,H,0.0,0.0,2.2,3.25,2.8,2.15,3.1,3.1,2.0,3.1,3.2,2.1,3.1,3.1,2.1,3.2,3.0,2005/6,€12.00m,€14.65m,2.1,3.4,2.9
B1,15/10/2005,Beveren,Anderlecht,0.0,1.0,A,0.0,1.0,5.0,3.5,1.61,5.0,3.25,1.65,4.4,3.3,1.65,4.5,3.25,1.67,4.33,3.4,1.66,2005/6,€16.75m,€71.95m,4.5,3.5,1.6
B1,15/10/2005,Club Brugge,Westerlo,2.0,1.0,H,1.0,1.0,1.57,3.5,5.5,1.6,3.6,4.8,1.55,3.5,4.8,1.57,3.5,5.0,1.5,3.6,5.5,2005/6,€50.60m,€17.55m,1.5,3.6,5.5
B1,15/10/2005,FC Brussels,Cercle Brugge,1.0,2.0,A,0.0,1.0,1.9,3.25,3.6,1.85,3.1,4.0,1.8,3.1,3.8,1.8,3.4,3.6,1.8,3.25,3.8,2005/6,€14.25m,€12.00m,1.85,3.3,3.6
B1,15/10/2005,Lierse,Waregem,0.0,2.0,A,0.0,1.0,2.25,3.2,2.87,2.25,3.3,2.75,2.2,3.0,2.9,2.1,3.2,3.0,2.25,3.2,2.75,2005/6,€16.65m,€10.88m,2.2,3.2,2.8
B1,15/10/2005,Lokeren,Charleroi,4.0,2.0,H,0.0,2.0,2.1,3.2,3.2,2.15,3.1,3.1,2.1,3.0,3.1,1.91,3.2,3.5,2.0,3.2,3.2,2005/6,€23.40m,€15.10m,2.0,3.2,3.2
B1,15/10/2005,Mouscron,Germinal,4.0,1.0,H,1.0,0.0,2.0,3.25,3.25,1.8,3.3,3.9,2.0,3.1,3.2,2.0,3.4,3.0,2.05,3.2,3.1,2005/6,€14.65m,€23.18m,2.0,3.3,3.1
B1,15/10/2005,Roeselare,Louvieroise,4.0,1.0,H,2.0,1.0,1.9,3.25,3.6,1.85,3.2,3.85,1.9,3.1,3.5,1.91,3.25,3.4,1.9,3.2,3.5,2005/6,€9.28m,€11.80m,1.9,3.2,3.5
B1,16/10/2005,Genk,Standard,0.0,1.0,A,0.0,1.0,2.62,3.2,2.4,2.9,3.2,2.2,2.7,3.1,2.4,2.5,3.2,2.5,2.65,3.2,2.3,2005/6,€35.15m,€52.10m,2.6,3.2,2.35
