Club,2024/25,2023/24,2022/23,2021/22,2020/21,2019/20,2018/19,2017/18,2016/17,2015/16,2014/15,2013/14,2012/13,2011/12,2010/11,2009/10,2008/9,2007/8,2006/7,2005/6,2004/5
Granada CF,,€141.10m,,€103.75m,€122.65m,€56.58m,,,€66.45m,€71.50m,€67.55m,€57.48m,€72.80m,€60.60m,,,,,,,
Levante UD,,,,€77.90m,€113.00m,€90.50m,€107.85m,€61.85m,,€53.10m,€43.45m,€42.40m,€41.10m,€40.25m,€37.40m,,,€41.50m,€53.75m,,€24.25m
SD Eibar,,,,,€83.40m,€53.75m,€93.90m,€60.05m,€67.95m,€56.60m,€29.40m,,,,,,,,,,
SD Huesca,,,,,€64.10m,,€61.40m,,,,,,,,,,,,,,
Málaga CF,,,,,,,,€55.20m,€84.30m,€77.95m,€82.80m,€62.50m,€122.90m,€121.30m,€71.05m,€58.60m,€54.00m,,,€28.03m,€32.85m
Deportivo de La Coruña,,,,,,,,€66.45m,€94.00m,€61.75m,€53.40m,,€45.60m,,€63.70m,€75.90m,€77.30m,€72.10m,€98.85m,€133.80m,€144.45m
Córdoba CF,,,,,,,,,,,€50.90m,,,,,,,,,,
Racing Santander,,,,,,,,,,,,,,€42.60m,€59.30m,€65.50m,€85.50m,€73.70m,€49.30m,€30.35m,€32.90m
Recreativo Huelva,,,,,,,,,,,,,,,,,€49.90m,€55.60m,€41.90m,,
CD Numancia,,,,,,,,,,,,,,,,,€38.10m,,,,€13.40m
Sporting Gijón,,,,,,,,,€46.75m,€53.20m,,,,€53.40m,€53.40m,€55.20m,€36.30m,,,,
Real Zaragoza,,,,,,,,,,,,,€46.80m,€61.00m,€57.00m,€87.25m,,€119.90m,€121.25m,€66.55m,€51.13m
Bayern Munich,€936.70m,€965.15m,€948.95m,€790.33m,€858.23m,€777.33m,€784.88m,€811.85m,€562.55m,€596.05m,€575.13m,€556.88m,€462.40m,€356.00m,€308.98m,€279.55m,€235.95m,€249.20m,€180.73m,€177.88m,€175.30m
Bayer 04 Leverkusen,€635.10m,€658.35m,€452.50m,€455.05m,€373.25m,€398.95m,€429.40m,€357.35m,€265.03m,€241.30m,€177.10m,€175.88m,€155.30m,€134.85m,€147.68m,€132.90m,€120.10m,€90.05m,€74.08m,€81.23m,€86.93m
RB Leipzig,€517.90m,€545.40m,€486.40m,€498.95m,€574.95m,€570.48m,€479.00m,€373.30m,€176.33m,,,,,,,,,,,,
Borussia Dortmund,€474.90m,€494.80m,€567.55m,€558.98m,€628.40m,€654.05m,€643.25m,€574.20m,€390.65m,€352.95m,€319.50m,€326.05m,€302.30m,€215.95m,€169.95m,€109.40m,€105.83m,€79.80m,€79.78m,€78.53m,€78.33m
VfB Stuttgart,€313.73m,€346.63m,€151.05m,€174.23m,€189.25m,,€143.75m,€134.70m,,€81.18m,€86.95m,€108.30m,€93.13m,€118.00m,€105.25m,€124.65m,€119.05m,€108.85m,€97.08m,€69.80m,€79.50m
Eintracht Frankfurt,€279.70m,€326.65m,€324.55m,€228.75m,€269.15m,€208.98m,€313.40m,€126.15m,€72.30m,€76.60m,€74.90m,€86.20m,€68.40m,,€47.58m,€59.20m,€63.40m,€67.80m,€52.95m,€39.95m,
VfL Wolfsburg,€215.00m,€206.45m,€238.30m,€269.30m,€256.83m,€207.60m,€229.25m,€143.60m,€203.08m,€270.43m,€221.05m,€155.23m,€109.00m,€125.80m,€145.10m,€155.43m,€138.33m,€79.00m,€55.90m,€61.38m,€59.30m
