Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
I1,16/10/05,Reggina,Lecce,2.0,0.0,H,1.0,0.0,H,2.1,2.8,3.5,2.1,3.0,3.45,M. Trefoloni,12.0,9.0,8.0,4.0,12.0,25.0,4.0,3.0,2.0,4.0,0.0,1.0
I1,22/10/05,Fiorentina,Parma,4.0,1.0,H,3.0,0.0,H,1.5,3.6,7.5,1.45,3.9,6.5,E. Morganti,11.0,9.0,6.0,4.0,12.0,17.0,6.0,5.0,1.0,2.0,0.0,0.0
I1,22/10/05,Messina,Ascoli,1.0,1.0,D,1.0,0.0,H,1.9,3.0,4.5,1.9,3.15,3.95,L. Banti,10.0,6.0,3.0,2.0,16.0,12.0,3.0,4.0,3.0,1.0,1.0,1.0
I1,23/10/05,Chievo,Cagliari,2.0,1.0,H,0.0,0.0,D,1.8,3.1,5.0,1.7,3.25,4.9,P. Mazzoleni,12.0,5.0,5.0,2.0,24.0,29.0,10.0,1.0,1.0,3.0,0.0,0.0
I1,23/10/05,Lecce,Juventus,0.0,3.0,A,0.0,1.0,A,7.0,3.75,1.5,7.0,3.6,1.47,S. Racalbuto,5.0,17.0,2.0,9.0,30.0,27.0,9.0,5.0,1.0,0.0,0.0,0.0
I1,23/10/05,Livorno,Reggina,1.0,0.0,H,0.0,0.0,D,1.9,3.1,4.33,1.83,3.0,4.55,P. Bertini,15.0,7.0,6.0,1.0,21.0,20.0,10.0,7.0,2.0,2.0,1.0,1.0
I1,23/10/05,Milan,Palermo,2.0,1.0,H,1.0,1.0,D,1.4,4.0,9.0,1.35,4.2,8.25,S. Farina,16.0,8.0,11.0,4.0,19.0,18.0,6.0,6.0,1.0,3.0,0.0,0.0
I1,23/10/05,Roma,Lazio,1.0,1.0,D,1.0,0.0,H,2.4,2.87,3.2,2.45,2.9,2.9,G. Paparesta,14.0,6.0,4.0,2.0,28.0,21.0,3.0,3.0,3.0,2.0,0.0,0.0
I1,23/10/05,Sampdoria,Siena,3.0,3.0,D,1.0,0.0,H,1.66,3.4,5.5,1.65,3.25,5.35,O. Girardi,11.0,15.0,8.0,8.0,20.0,23.0,5.0,2.0,2.0,5.0,1.0,0.0
I1,23/10/05,Treviso,Empoli,1.0,2.0,A,0.0,1.0,A,2.37,2.75,3.4,2.2,2.95,3.3,F. Squillace,17.0,10.0,6.0,4.0,19.0,17.0,10.0,3.0,1.0,2.0,0.0,0.0
I1,23/10/05,Udinese,Inter,0.0,1.0,A,0.0,1.0,A,3.75,3.0,2.1,3.7,3.1,1.97,D. Tombolini,9.0,17.0,4.0,10.0,20.0,20.0,1.0,8.0,2.0,3.0,0.0,0.0
I1,26/10/05,Ascoli,Udinese,1.0,1.0,D,1.0,0.0,H,3.4,3.0,2.2,3.3,2.85,2.25,A. De Marco,7.0,8.0,4.0,4.0,17.0,19.0,3.0,9.0,1.0,0.0,0.0,0.0
I1,26/10/05,Cagliari,Livorno,1.0,1.0,D,0.0,0.0,D,2.37,2.75,3.4,2.3,2.9,3.15,L. Palanca,14.0,5.0,5.0,3.0,16.0,25.0,8.0,2.0,2.0,3.0,0.0,0.0
I1,26/10/05,Empoli,Milan,1.0,3.0,A,1.0,1.0,D,6.5,3.5,1.57,6.75,3.4,1.52,M. Trefoloni,8.0,16.0,4.0,8.0,13.0,13.0,5.0,10.0,0.0,1.0,0.0,0.0
I1,26/10/05,Inter,Roma,2.0,3.0,A,0.0,2.0,A,1.61,3.4,6.0,1.55,3.45,6.15,R. Rosetti,15.0,9.0,9.0,5.0,16.0,20.0,9.0,2.0,2.0,3.0,1.0,1.0
I1,26/10/05,Juventus,Sampdoria,2.0,0.0,H,1.0,0.0,H,1.4,4.0,9.0,1.35,4.1,9.0,A. Dattilo,14.0,12.0,9.0,4.0,24.0,25.0,3.0,7.0,0.0,2.0,0.0,0.0
I1,26/10/05,Palermo,Lecce,3.0,0.0,H,1.0,0.0,H,1.57,3.5,6.5,1.5,3.5,6.9,C. Brighi,10.0,12.0,4.0,5.0,13.0,16.0,2.0,7.0,3.0,3.0,1.0,0.0
I1,26/10/05,Parma,Messina,1.0,1.0,D,1.0,0.0,H,2.0,3.0,4.0,1.95,3.1,3.8,D. Messina,11.0,14.0,5.0,8.0,15.0,22.0,4.0,3.0,1.0,4.0,0.0,0.0
I1,26/10/05,Reggina,Treviso,1.0,2.0,A,0.0,1.0,A,1.72,3.3,5.0,1.75,3.1,4.9,O. Pantana,10.0,5.0,5.0,3.0,14.0,20.0,8.0,3.0,1.0,3.0,0.0,0.0
I1,26/10/05,Siena,Fiorentina,0.0,2.0,A,0.0,1.0,A,3.0,3.0,2.4,2.8,3.0,2.45,M. De Santis,13.0,8.0,7.0,4.0,12.0,21.0,8.0,2.0,5.0,1.0,0.0,0.0
I1,29/10/05,Milan,Juventus,3.0,1.0,H,3.0,0.0,H,2.37,2.75,3.0,2.45,2.9,2.9,P. Bertini,7.0,4.0,4.0,3.0,26.0,26.0,6.0,2.0,2.0,3.0,0.0,0.0
I1,29/10/05,Sampdoria,Inter,2.0,2.0,D,2.0,2.0,D,3.0,3.0,2.25,3.4,3.05,2.1,S. Farina,11.0,12.0,8.0,7.0,13.0,20.0,4.0,8.0,1.0,2.0,0.0,0.0
I1,30/10/05,Chievo,Empoli,2.0,2.0,D,1.0,1.0,D,1.83,3.0,4.33,1.85,3.0,4.45,N. Stefanini,14.0,7.0,6.0,4.0,13.0,21.0,6.0,2.0,2.0,1.0,0.0,0.0
I1,30/10/05,Fiorentina,Cagliari,2.0,1.0,H,0.0,1.0,A,1.36,4.0,7.5,1.36,4.0,8.75,M. Gabriele,7.0,11.0,4.0,6.0,22.0,14.0,4.0,5.0,3.0,3.0,0.0,2.0
I1,30/10/05,Lecce,Messina,0.0,2.0,A,0.0,0.0,D,2.0,3.0,3.5,2.15,2.9,3.45,M. Mazzoleni,14.0,10.0,6.0,5.0,22.0,25.0,5.0,3.0,2.0,4.0,0.0,0.0
I1,30/10/05,Livorno,Parma,2.0,0.0,H,2.0,0.0,H,1.72,3.25,4.33,1.77,3.1,4.75,M. Saccani,7.0,8.0,3.0,5.0,15.0,13.0,3.0,5.0,1.0,1.0,0.0,0.0
I1,30/10/05,Reggina,Lazio,1.0,0.0,H,0.0,0.0,D,2.6,2.87,2.6,2.55,2.9,2.75,G. Rocchi,12.0,5.0,5.0,2.0,23.0,20.0,3.0,4.0,2.0,4.0,0.0,0.0
I1,30/10/05,Roma,Ascoli,2.0,1.0,H,1.0,0.0,H,1.44,3.75,6.5,1.45,3.65,7.5,N. Rizzoli,13.0,9.0,8.0,5.0,19.0,15.0,9.0,2.0,1.0,3.0,1.0,0.0
I1,30/10/05,Treviso,Siena,0.0,1.0,A,0.0,1.0,A,2.4,2.9,2.8,2.37,2.9,3.0,M. Bergonzi,7.0,10.0,3.0,4.0,23.0,18.0,3.0,7.0,2.0,1.0,0.0,0.0
I1,30/10/05,Udinese,Palermo,0.0,0.0,D,0.0,0.0,D,2.0,3.0,3.5,2.05,3.1,3.5,P. Rodomonti,10.0,9.0,2.0,3.0,31.0,28.0,6.0,6.0,2.0,2.0,0.0,0.0
I1,05/11/05,Empoli,Reggina,3.0,0.0,H,1.0,0.0,H,2.0,2.75,4.0,2.0,2.85,4.05,A. Romeo,12.0,11.0,8.0,4.0,23.0,17.0,3.0,7.0,1.0,1.0,0.0,0.0
I1,05/11/05,Lazio,Inter,0.0,0.0,D,0.0,0.0,D,3.6,3.1,2.1,3.5,3.1,2.05,D. Messina,7.0,9.0,3.0,3.0,16.0,18.0,3.0,8.0,2.0,3.0,0.0,0.0
