Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
SP1,29/10/05,Betis,Real Madrid,0,2,A,0,1,A,2.8,3.25,2.2,3.3,3.1,2.1,11.0,6.0,1.0,3.0,21.0,24.0,4.0,4.0,2.0,2.0,0.0,0.0
SP1,30/10/05,Alaves,Cadiz,0,0,D,0,0,D,2.2,3.25,2.8,2.15,3.15,3.15,10.0,7.0,6.0,3.0,25.0,19.0,4.0,0.0,1.0,2.0,0.0,0.0
SP1,30/10/05,Ath Madrid,Villarreal,1,1,D,1,0,H,2.2,3.25,2.8,2.1,3.1,3.3,16.0,7.0,5.0,2.0,26.0,18.0,8.0,2.0,6.0,4.0,1.0,1.0
SP1,30/10/05,Barcelona,Sociedad,5,0,H,2,0,H,1.33,4.33,7.5,1.2,5.55,11.0,21.0,2.0,8.0,1.0,13.0,9.0,4.0,5.0,1.0,3.0,0.0,1.0
SP1,30/10/05,La Coruna,Getafe,1,0,H,1,0,H,1.8,3.25,4.0,1.9,3.2,3.8,12.0,16.0,5.0,3.0,28.0,17.0,1.0,2.0,3.0,4.0,0.0,0.0
SP1,30/10/05,Mallorca,Sevilla,1,1,D,1,1,D,2.5,3.2,2.5,3.0,3.2,2.2,8.0,19.0,2.0,7.0,22.0,15.0,3.0,2.0,2.0,2.0,1.0,0.0
SP1,30/10/05,Osasuna,Espanol,2,0,H,1,0,H,1.83,3.25,3.75,1.8,3.4,4.0,16.0,7.0,7.0,0.0,18.0,20.0,5.0,4.0,2.0,6.0,0.0,1.0
SP1,30/10/05,Valencia,Santander,1,1,D,1,1,D,1.4,4.0,6.5,1.5,3.6,6.25,10.0,5.0,4.0,4.0,14.0,31.0,9.0,1.0,2.0,1.0,0.0,1.0
SP1,30/10/05,Zaragoza,Malaga,1,1,D,1,1,D,2.0,3.25,3.25,1.85,3.35,3.8,16.0,9.0,8.0,2.0,19.0,22.0,9.0,1.0,2.0,2.0,0.0,0.0
SP1,05/11/05,Espanol,Ath Bilbao,1,1,D,0,1,A,2.1,3.25,3.4,1.95,3.2,3.6,13.0,9.0,6.0,3.0,18.0,25.0,4.0,3.0,2.0,1.0,0.0,0.0
SP1,05/11/05,Sociedad,Osasuna,1,2,A,1,1,D,2.1,3.25,3.0,1.95,3.2,3.6,15.0,17.0,5.0,5.0,22.0,25.0,3.0,3.0,1.0,4.0,0.0,0.0
SP1,05/11/05,Villarreal,Valencia,1,0,H,1,0,H,2.37,3.2,2.87,2.3,3.15,2.85,15.0,13.0,4.0,6.0,17.0,22.0,1.0,6.0,1.0,1.0,0.0,0.0
SP1,06/11/05,Cadiz,Mallorca,1,2,A,1,1,D,2.0,3.25,3.25,1.8,3.35,4.0,9.0,9.0,4.0,4.0,15.0,21.0,7.0,3.0,3.0,3.0,0.0,1.0
SP1,06/11/05,Celta,Alaves,2,1,H,1,0,H,1.72,3.25,4.33,1.65,3.5,4.7,14.0,9.0,9.0,2.0,22.0,14.0,6.0,4.0,3.0,2.0,0.0,0.0
SP1,06/11/05,Getafe,Barcelona,1,3,A,0,1,A,4.5,3.6,1.72,4.3,3.35,1.75,7.0,10.0,3.0,7.0,20.0,10.0,5.0,4.0,1.0,0.0,0.0,0.0
SP1,06/11/05,Malaga,La Coruna,1,1,D,0,0,D,2.4,3.2,2.6,2.4,3.1,2.75,11.0,12.0,1.0,4.0,23.0,17.0,4.0,2.0,0.0,3.0,0.0,0.0
SP1,06/11/05,Real Madrid,Zaragoza,1,0,H,0,0,D,1.36,4.33,9.0,1.33,4.2,9.0,13.0,14.0,5.0,4.0,14.0,22.0,6.0,1.0,2.0,5.0,0.0,0.0
SP1,06/11/05,Santander,Betis,1,1,D,0,1,A,2.3,3.25,2.75,2.2,3.2,3.0,14.0,8.0,5.0,2.0,24.0,27.0,6.0,7.0,3.0,2.0,0.0,0.0
SP1,06/11/05,Sevilla,Ath Madrid,0,0,D,0,0,D,2.0,3.25,3.4,2.1,3.2,3.2,14.0,12.0,6.0,3.0,21.0,18.0,7.0,4.0,0.0,3.0,0.0,0.0
SP1,19/11/05,Getafe,Osasuna,0,0,D,0,0,D,2.25,3.0,3.0,2.1,3.1,3.3,13.0,9.0,4.0,2.0,17.0,26.0,4.0,2.0,2.0,2.0,0.0,0.0
SP1,19/11/05,Real Madrid,Barcelona,0,3,A,0,1,A,2.37,3.2,2.62,2.25,3.25,2.85,5.0,20.0,2.0,7.0,25.0,16.0,3.0,6.0,6.0,2.0,0.0,0.0
SP1,19/11/05,Sevilla,Betis,1,0,H,0,0,D,2.0,3.0,3.5,1.85,3.25,3.9,9.0,8.0,2.0,3.0,23.0,24.0,7.0,4.0,4.0,7.0,2.0,0.0
SP1,19/11/05,Villarreal,Zaragoza,0,0,D,0,0,D,1.72,3.25,4.33,1.75,3.35,4.3,10.0,11.0,3.0,3.0,19.0,19.0,6.0,2.0,2.0,3.0,0.0,0.0
SP1,20/11/05,Ath Bilbao,Alaves,0,2,A,0,1,A,1.83,3.25,3.75,1.8,3.3,4.1,18.0,11.0,5.0,7.0,20.0,18.0,11.0,1.0,3.0,3.0,0.0,0.0
