Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,Season,HomeValue,AwayValue,B365H_Prob,BWH_Prob,WHH_Prob,IWH_Prob,B365D_Prob,BWD_Prob,WHD_Prob,IWD_Prob,B365A_Prob,BWA_Prob,WHA_Prob,IWA_Prob,Consensus,Mean_Prob_H,Std_Dev_Prob_H,Mean_Prob_D,Std_Dev_Prob_D,Mean_Prob_A,Std_Dev_Prob_A
N1,03/10/2004,AZ Alkmaar,Ajax,D,4.0,3.4,1.72,4.0,3.25,1.8,3.5,3.1,1.9,3.1,3.4,1.95,2004/5,€50.00m,€114.50m,25.0,25.0,32.2581,28.5714,29.4118,30.7692,29.4118,32.2581,58.1395,55.5556,51.2821,52.6316,A,27.7074,3.4696,30.4627,1.3572,54.4022,3.0642
N1,03/10/2004,Feyenoord,Den Bosch,H,1.16,6.0,15.0,1.15,6.5,11.0,1.15,6.0,12.0,1.16,6.0,10.0,2004/5,€66.43m,€8.35m,86.2069,86.9565,86.2069,86.9565,16.6667,15.3846,16.6667,16.6667,6.6667,9.0909,10.0,8.3333,H,86.5817,0.4328,16.3462,0.641,8.5227,1.4125
N1,03/10/2004,Heerenveen,Den Haag,H,1.44,3.6,6.5,1.45,3.8,6.2,1.5,3.7,5.0,1.5,3.6,5.5,2004/5,€31.20m,€9.92m,69.4444,68.9655,66.6667,66.6667,27.7778,26.3158,27.7778,27.027,15.3846,16.129,18.1818,20.0,H,67.9358,1.4784,27.2246,0.7017,17.4239,2.0854
N1,03/10/2004,Utrecht,Waalwijk,H,1.72,3.2,4.33,1.75,3.45,4.0,1.65,3.3,4.2,1.7,3.4,4.2,2004/5,€20.30m,€19.33m,58.1395,57.1429,58.8235,60.6061,31.25,28.9855,29.4118,30.303,23.0947,25.0,23.8095,23.8095,H,58.678,1.4589,29.9876,1.0048,23.9284,0.7899
N1,15/10/2004,Graafschap,AZ Alkmaar,A,3.75,3.2,1.83,4.1,3.35,1.75,3.8,3.1,1.8,3.4,3.3,1.9,2004/5,€12.28m,€50.00m,26.6667,24.3902,29.4118,26.3158,31.25,29.8507,30.303,32.2581,54.6448,57.1429,52.6316,55.5556,A,26.6961,2.0686,30.9154,1.0682,54.9937,1.8829
N1,16/10/2004,Ajax,Heerenveen,A,1.3,4.33,8.0,1.3,4.5,8.25,1.33,4.0,7.5,1.33,4.2,7.5,2004/5,€114.50m,€31.20m,76.9231,76.9231,75.188,75.188,23.0947,22.2222,23.8095,25.0,12.5,12.1212,13.3333,13.3333,H,76.0556,1.0018,23.5316,1.1746,12.822,0.6104
N1,16/10/2004,Den Bosch,Roosendaal,H,1.9,3.2,3.5,1.9,3.4,3.4,2.0,3.1,3.2,2.0,3.3,3.1,2004/5,€8.35m,€10.70m,52.6316,52.6316,50.0,50.0,31.25,29.4118,30.303,32.2581,28.5714,29.4118,32.2581,31.25,H,51.3158,1.5194,30.8057,1.2251,30.3728,1.6825
N1,16/10/2004,Den Haag,PSV Eindhoven,A,6.0,3.75,1.44,6.5,4.0,1.4,7.0,4.0,1.35,7.0,3.75,1.4,2004/5,€9.92m,€86.85m,16.6667,15.3846,14.2857,14.2857,26.6667,25.0,26.6667,25.0,69.4444,71.4286,71.4286,74.0741,A,15.1557,1.1327,25.8334,0.9623,71.5939,1.8997
N1,17/10/2004,Groningen,Utrecht,H,2.75,3.2,2.25,2.85,3.25,2.2,3.3,3.0,2.0,2.75,3.2,2.25,2004/5,€12.95m,€20.30m,36.3636,35.0877,36.3636,30.303,31.25,30.7692,31.25,33.3333,44.4444,45.4545,44.4444,50.0,A,34.5295,2.8811,31.6506,1.1445,46.0858,2.6525
N1,17/10/2004,Roda,Feyenoord,A,3.5,3.2,1.9,3.4,3.4,1.9,3.5,3.1,1.9,3.4,3.25,1.9,2004/5,€20.93m,€66.43m,28.5714,29.4118,29.4118,28.5714,31.25,29.4118,30.7692,32.2581,52.6316,52.6316,52.6316,52.6316,A,28.9916,0.4852,30.9223,1.1828,52.6316,0.0
