Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,Season,HomeValue,AwayValue,PSH,PSD,PSA,PSCH,PSCD,PSCA,B365CH,B365CD,B365CA
N1,10/11/2019,Feyenoord,Waalwijk,H,1.16,8.0,12.0,1.2,7.5,12.0,2019/20,€102.73m,€10.78m,1.18,7.71,14.58,1.19,7.3,13.55,1.16,8.0,12.0
N1,10/11/2019,AZ Alkmaar,FC Emmen,H,1.2,7.0,12.0,1.22,6.75,11.5,2019/20,€130.05m,€13.23m,1.2,7.0,13.76,1.19,7.36,14.14,1.18,7.0,13.0
N1,23/11/2019,Utrecht,AZ Alkmaar,A,3.1,3.5,2.2,2.85,3.7,2.35,2019/20,€48.58m,€130.05m,2.98,3.7,2.33,3.19,3.92,2.14,3.3,3.6,2.05
N1,23/11/2019,Ajax,Heracles,H,1.1,11.0,17.0,1.13,9.5,17.5,2019/20,€400.40m,€22.48m,1.12,10.0,19.53,1.09,11.89,22.97,1.08,13.0,21.0
N1,23/11/2019,Zwolle,For Sittard,H,1.66,4.0,4.75,1.7,4.33,4.33,2019/20,€16.50m,€13.08m,1.7,4.49,4.38,1.67,4.54,4.58,1.61,4.5,4.5
N1,23/11/2019,Den Haag,Willem II,D,2.9,3.5,2.3,2.85,3.7,2.35,2019/20,€19.40m,€21.80m,2.89,3.89,2.32,2.76,3.54,2.57,2.6,3.5,2.45
N1,24/11/2019,Groningen,Feyenoord,D,3.25,3.4,2.15,3.3,3.5,2.15,2019/20,€30.40m,€102.73m,3.22,3.81,2.16,2.97,3.65,2.36,3.1,3.4,2.25
N1,24/11/2019,PSV Eindhoven,Heerenveen,H,1.4,4.75,7.0,1.44,4.75,7.0,2019/20,€219.58m,€26.75m,1.44,4.87,7.12,1.33,5.84,8.47,1.3,5.25,9.5
N1,24/11/2019,Waalwijk,FC Emmen,D,2.3,3.6,2.87,2.4,3.75,2.7,2019/20,€10.78m,€13.23m,2.32,3.95,2.85,2.01,4.17,3.36,1.9,3.75,3.6
N1,24/11/2019,Sparta Rotterdam,Vitesse,H,2.5,3.6,2.6,2.55,3.75,2.55,2019/20,€15.50m,€30.53m,2.62,3.63,2.65,2.3,3.89,2.92,2.3,3.6,2.87
